@attribute YEAR {'\'(-inf-2011.1]\'','\'(2011.1-2011.2]\'','\'(2011.2-2011.3]\'','\'(2011.3-2011.4]\'','\'(2011.4-2011.5]\'','\'(2011.5-2011.6]\'','\'(2011.6-2011.7]\'','\'(2011.7-2011.8]\'','\'(2011.8-2011.9]\'','\'(2011.9-inf)\''}
@attribute MONTH {'\'(-inf-2.1]\'','\'(2.1-3.2]\'','\'(3.2-4.3]\'','\'(4.3-5.4]\'','\'(5.4-6.5]\'','\'(6.5-7.6]\'','\'(7.6-8.7]\'','\'(8.7-9.8]\'','\'(9.8-10.9]\'','\'(10.9-inf)\''}
@attribute DAY {'\'(-inf-4]\'','\'(4-7]\'','\'(7-10]\'','\'(10-13]\'','\'(13-16]\'','\'(16-19]\'','\'(19-22]\'','\'(22-25]\'','\'(25-28]\'','\'(28-inf)\''}
@attribute TIME {'\'(-inf-2.356]\'','\'(2.356-4.712]\'','\'(4.712-7.068]\'','\'(7.068-9.424]\'','\'(9.424-11.78]\'','\'(11.78-14.136]\'','\'(14.136-16.492]\'','\'(16.492-18.848]\'','\'(18.848-21.204]\'','\'(21.204-inf)\''}
@attribute DIRECTION {NNE,NE,East,ENE,North,NNW,WNW,SSE,ESE,SW,South,WSW,West,SSW}
@attribute WIND {'\'(-inf-1.2]\'','\'(1.2-2.4]\'','\'(2.4-3.6]\'','\'(3.6-4.8]\'','\'(4.8-6]\'','\'(6-7.2]\'','\'(7.2-8.4]\'','\'(8.4-9.6]\'','\'(9.6-10.8]\'','\'(10.8-inf)\''}
@attribute NEXT_DIRECTION {NE,East,ENE,NNE,North,NNW,WNW,SSE,ESE,SW,South,WSW,West,SSW}
@attribute NEXT_WIND {'\'(-inf-1.2]\'','\'(1.2-2.4]\'','\'(2.4-3.6]\'','\'(3.6-4.8]\'','\'(4.8-6]\'','\'(6-7.2]\'','\'(7.2-8.4]\'','\'(8.4-9.6]\'','\'(9.6-10.8]\'','\'(10.8-inf)\''}

@data

'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(14.136-16.492]\'',NE,'\'(2.4-3.6]\'',NE,'\'(2.4-3.6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(14.136-16.492]\'',NE,'\'(2.4-3.6]\'',NNE,'\'(4.8-6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(14.136-16.492]\'',NNE,'\'(4.8-6]\'',NE,'\'(4.8-6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(14.136-16.492]\'',NE,'\'(4.8-6]\'',NE,'\'(4.8-6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(14.136-16.492]\'',NE,'\'(4.8-6]\'',NNE,'\'(2.4-3.6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(14.136-16.492]\'',NNE,'\'(2.4-3.6]\'',NNE,'\'(3.6-4.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(14.136-16.492]\'',NNE,'\'(3.6-4.8]\'',NNE,'\'(3.6-4.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(14.136-16.492]\'',NNE,'\'(3.6-4.8]\'',NNE,'\'(3.6-4.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(14.136-16.492]\'',NNE,'\'(3.6-4.8]\'',NNE,'\'(1.2-2.4]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(14.136-16.492]\'',NNE,'\'(1.2-2.4]\'',NNE,'\'(-inf-1.2]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(14.136-16.492]\'',NNE,'\'(-inf-1.2]\'',NNE,'\'(-inf-1.2]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(14.136-16.492]\'',NNE,'\'(-inf-1.2]\'',NNE,'\'(-inf-1.2]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(14.136-16.492]\'',NNE,'\'(-inf-1.2]\'',NE,'\'(1.2-2.4]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(14.136-16.492]\'',NE,'\'(1.2-2.4]\'',NE,'\'(2.4-3.6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(14.136-16.492]\'',NE,'\'(2.4-3.6]\'',NNE,'\'(2.4-3.6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(14.136-16.492]\'',NNE,'\'(2.4-3.6]\'',North,'\'(4.8-6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(14.136-16.492]\'',North,'\'(4.8-6]\'',NNE,'\'(4.8-6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(16.492-18.848]\'',NNE,'\'(4.8-6]\'',NNE,'\'(4.8-6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(16.492-18.848]\'',NNE,'\'(4.8-6]\'',North,'\'(3.6-4.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(16.492-18.848]\'',North,'\'(3.6-4.8]\'',North,'\'(3.6-4.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(16.492-18.848]\'',North,'\'(3.6-4.8]\'',North,'\'(4.8-6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(16.492-18.848]\'',North,'\'(4.8-6]\'',North,'\'(4.8-6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(16.492-18.848]\'',North,'\'(4.8-6]\'',North,'\'(4.8-6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(16.492-18.848]\'',North,'\'(4.8-6]\'',NNE,'\'(1.2-2.4]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(16.492-18.848]\'',NNE,'\'(1.2-2.4]\'',ENE,'\'(1.2-2.4]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(16.492-18.848]\'',ENE,'\'(1.2-2.4]\'',NNE,'\'(2.4-3.6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(16.492-18.848]\'',NNE,'\'(2.4-3.6]\'',NE,'\'(3.6-4.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(16.492-18.848]\'',NE,'\'(3.6-4.8]\'',NNE,'\'(3.6-4.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(16.492-18.848]\'',NNE,'\'(3.6-4.8]\'',North,'\'(3.6-4.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(16.492-18.848]\'',North,'\'(3.6-4.8]\'',NNE,'\'(3.6-4.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(16.492-18.848]\'',NNE,'\'(3.6-4.8]\'',North,'\'(3.6-4.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(16.492-18.848]\'',North,'\'(3.6-4.8]\'',NE,'\'(3.6-4.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(16.492-18.848]\'',NE,'\'(3.6-4.8]\'',NE,'\'(3.6-4.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(16.492-18.848]\'',NE,'\'(3.6-4.8]\'',North,'\'(3.6-4.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(16.492-18.848]\'',North,'\'(3.6-4.8]\'',North,'\'(2.4-3.6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(16.492-18.848]\'',North,'\'(2.4-3.6]\'',NE,'\'(2.4-3.6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(16.492-18.848]\'',NE,'\'(2.4-3.6]\'',NNE,'\'(2.4-3.6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(16.492-18.848]\'',NNE,'\'(2.4-3.6]\'',NNE,'\'(3.6-4.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(16.492-18.848]\'',NNE,'\'(3.6-4.8]\'',North,'\'(3.6-4.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(16.492-18.848]\'',North,'\'(3.6-4.8]\'',NNW,'\'(3.6-4.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(16.492-18.848]\'',NNW,'\'(3.6-4.8]\'',NNE,'\'(3.6-4.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(16.492-18.848]\'',NNE,'\'(3.6-4.8]\'',ENE,'\'(3.6-4.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(16.492-18.848]\'',ENE,'\'(3.6-4.8]\'',ENE,'\'(3.6-4.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(16.492-18.848]\'',ENE,'\'(3.6-4.8]\'',East,'\'(3.6-4.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(18.848-21.204]\'',East,'\'(3.6-4.8]\'',NE,'\'(3.6-4.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(18.848-21.204]\'',NE,'\'(3.6-4.8]\'',ENE,'\'(2.4-3.6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(18.848-21.204]\'',ENE,'\'(2.4-3.6]\'',East,'\'(2.4-3.6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(18.848-21.204]\'',East,'\'(2.4-3.6]\'',ENE,'\'(2.4-3.6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(18.848-21.204]\'',ENE,'\'(2.4-3.6]\'',North,'\'(4.8-6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(18.848-21.204]\'',North,'\'(4.8-6]\'',NNE,'\'(4.8-6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(18.848-21.204]\'',NNE,'\'(4.8-6]\'',NNE,'\'(2.4-3.6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(18.848-21.204]\'',NNE,'\'(2.4-3.6]\'',NNE,'\'(2.4-3.6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(18.848-21.204]\'',NNE,'\'(2.4-3.6]\'',NNE,'\'(2.4-3.6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(18.848-21.204]\'',NNE,'\'(2.4-3.6]\'',NNE,'\'(1.2-2.4]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(18.848-21.204]\'',NNE,'\'(1.2-2.4]\'',NNE,'\'(1.2-2.4]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(18.848-21.204]\'',NNE,'\'(1.2-2.4]\'',NNE,'\'(1.2-2.4]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(18.848-21.204]\'',NNE,'\'(1.2-2.4]\'',NNE,'\'(1.2-2.4]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(18.848-21.204]\'',NNE,'\'(1.2-2.4]\'',NNE,'\'(-inf-1.2]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(18.848-21.204]\'',NNE,'\'(-inf-1.2]\'',SSE,'\'(-inf-1.2]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(18.848-21.204]\'',SSE,'\'(-inf-1.2]\'',SSE,'\'(2.4-3.6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(18.848-21.204]\'',SSE,'\'(2.4-3.6]\'',SSE,'\'(2.4-3.6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(18.848-21.204]\'',SSE,'\'(2.4-3.6]\'',ESE,'\'(1.2-2.4]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(18.848-21.204]\'',ESE,'\'(1.2-2.4]\'',East,'\'(1.2-2.4]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(18.848-21.204]\'',East,'\'(1.2-2.4]\'',East,'\'(2.4-3.6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(18.848-21.204]\'',East,'\'(2.4-3.6]\'',East,'\'(2.4-3.6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(18.848-21.204]\'',East,'\'(2.4-3.6]\'',East,'\'(2.4-3.6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(18.848-21.204]\'',East,'\'(2.4-3.6]\'',East,'\'(1.2-2.4]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(18.848-21.204]\'',East,'\'(1.2-2.4]\'',East,'\'(2.4-3.6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(18.848-21.204]\'',East,'\'(2.4-3.6]\'',ENE,'\'(3.6-4.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(18.848-21.204]\'',ENE,'\'(3.6-4.8]\'',ENE,'\'(3.6-4.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(18.848-21.204]\'',ENE,'\'(3.6-4.8]\'',SSE,'\'(3.6-4.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(21.204-inf)\'',SSE,'\'(3.6-4.8]\'',SW,'\'(1.2-2.4]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(21.204-inf)\'',SW,'\'(1.2-2.4]\'',South,'\'(3.6-4.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(21.204-inf)\'',South,'\'(3.6-4.8]\'',WSW,'\'(3.6-4.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(21.204-inf)\'',WSW,'\'(3.6-4.8]\'',SW,'\'(3.6-4.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(21.204-inf)\'',SW,'\'(3.6-4.8]\'',SW,'\'(4.8-6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(21.204-inf)\'',SW,'\'(4.8-6]\'',WSW,'\'(4.8-6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(21.204-inf)\'',WSW,'\'(4.8-6]\'',WSW,'\'(4.8-6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(21.204-inf)\'',WSW,'\'(4.8-6]\'',WSW,'\'(4.8-6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(21.204-inf)\'',WSW,'\'(4.8-6]\'',WSW,'\'(3.6-4.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(21.204-inf)\'',WSW,'\'(3.6-4.8]\'',WSW,'\'(3.6-4.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(21.204-inf)\'',WSW,'\'(3.6-4.8]\'',WSW,'\'(3.6-4.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(21.204-inf)\'',WSW,'\'(3.6-4.8]\'',WSW,'\'(2.4-3.6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(21.204-inf)\'',WSW,'\'(2.4-3.6]\'',WSW,'\'(2.4-3.6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(21.204-inf)\'',WSW,'\'(2.4-3.6]\'',West,'\'(2.4-3.6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(21.204-inf)\'',West,'\'(2.4-3.6]\'',West,'\'(2.4-3.6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(21.204-inf)\'',West,'\'(2.4-3.6]\'',West,'\'(2.4-3.6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(21.204-inf)\'',West,'\'(2.4-3.6]\'',West,'\'(2.4-3.6]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(21.204-inf)\'',West,'\'(2.4-3.6]\'',West,'\'(1.2-2.4]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(21.204-inf)\'',West,'\'(1.2-2.4]\'',NNW,'\'(2.4-3.6]\''
