UTC_DATETIME,WIND_DIRECTION,WIND_SPEED_GUST_MPH,WIND_SPEED_MPH
2011-12-31 13:12:00,NNE,6.0,3.0
2011-12-31 13:21:00,NE,6.0,2.0
2011-12-31 13:27:00,NE,6.0,1.0
2011-12-31 13:32:00,East,6.0,1.0
2011-12-31 13:37:00,ENE,6.0,2.0
2011-12-31 13:42:00,East,9.0,2.0
2011-12-31 13:47:00,ENE,9.0,3.0
2011-12-31 13:52:00,ENE,8.0,3.0
2011-12-31 14:01:00,ENE,9.0,5.0
2011-12-31 14:06:00,East,10.0,5.0
2011-12-31 14:12:00,NNE,12.0,6.0
2011-12-31 14:17:00,NNE,12.0,2.0
2011-12-31 14:22:00,NNE,12.0,0.0
2011-12-31 14:27:00,NNE,9.0,1.0
2011-12-31 14:32:00,NNE,3.0,2.0
2011-12-31 14:38:00,NNE,4.0,2.0
2011-12-31 14:43:00,NE,5.0,2.0
2011-12-31 14:48:00,North,5.0,2.0
2011-12-31 14:53:00,NNW,5.0,4.0
2011-12-31 14:58:00,North,5.0,4.0
2011-12-31 15:03:00,WNW,8.0,1.0
2011-12-31 15:08:00,North,8.0,0.0
2011-12-31 15:14:00,North,8.0,0.0
2011-12-31 15:19:00,North,5.0,1.0
2011-12-31 15:24:00,NE,3.0,2.0
2011-12-31 15:29:00,NE,3.0,1.0
2011-12-31 15:34:00,NNE,5.0,0.0
2011-12-31 15:39:00,NE,5.0,1.0
2011-12-31 15:44:00,NE,5.0,1.0
2011-12-31 15:49:00,NNE,3.0,0.0
2011-12-31 15:55:00,NNE,4.0,0.0
2011-12-31 16:00:00,NNE,4.0,0.0
2011-12-31 16:05:00,NNE,4.0,0.0
2011-12-31 16:10:00,NNE,2.0,0.0
2011-12-31 16:15:00,NNE,1.0,0.0
2011-12-31 16:20:00,NNE,1.0,0.0
2011-12-31 16:25:00,NNE,1.0,0.0
2011-12-31 16:30:00,NE,2.0,1.0
2011-12-31 16:35:00,NE,3.0,0.0
2011-12-31 16:41:00,NNE,3.0,2.0
2011-12-31 16:46:00,North,5.0,1.0
2011-12-31 16:51:00,NNE,5.0,1.0
2011-12-31 16:56:00,NNE,5.0,2.0
2011-12-31 17:01:00,North,4.0,2.0
2011-12-31 17:06:00,North,4.0,2.0
2011-12-31 17:11:00,North,5.0,0.0
2011-12-31 17:17:00,North,5.0,0.0
2011-12-31 17:22:00,North,5.0,0.0
2011-12-31 17:27:00,NNE,2.0,2.0
2011-12-31 17:32:00,ENE,2.0,1.0
2011-12-31 17:37:00,NNE,3.0,2.0
2011-12-31 17:42:00,NE,4.0,1.0
2011-12-31 17:47:00,NNE,4.0,1.0
2011-12-31 17:52:00,North,4.0,1.0
2011-12-31 17:57:00,NNE,4.0,2.0
2011-12-31 18:02:00,North,4.0,0.0
2011-12-31 18:08:00,NE,4.0,1.0
2011-12-31 18:13:00,NE,4.0,2.0
2011-12-31 18:18:00,North,4.0,0.0
2011-12-31 18:23:00,North,3.0,1.0
2011-12-31 18:28:00,NE,3.0,0.0
2011-12-31 18:33:00,NNE,3.0,3.0
2011-12-31 18:37:00,NNE,4.0,1.0
2011-12-31 18:38:00,North,4.0,1.0
2011-12-31 18:43:00,NNW,4.0,3.0
2011-12-31 18:48:00,NNE,4.0,1.0
2011-12-31 18:54:00,ENE,4.0,0.0
2011-12-31 18:59:00,ENE,4.0,2.0
2011-12-31 19:04:00,East,4.0,1.0
2011-12-31 19:09:00,NE,4.0,1.0
2011-12-31 19:14:00,ENE,3.0,0.0
2011-12-31 19:19:00,East,3.0,1.0
2011-12-31 19:24:00,ENE,3.0,1.0
2011-12-31 19:29:00,North,5.0,1.0
2011-12-31 19:34:00,NNE,5.0,1.0
2011-12-31 19:39:00,NNE,3.0,0.0
2011-12-31 19:45:00,NNE,3.0,0.0
2011-12-31 19:50:00,NNE,3.0,0.0
2011-12-31 19:55:00,NNE,2.0,0.0
2011-12-31 20:00:00,NNE,2.0,0.0
2011-12-31 20:05:00,NNE,2.0,0.0
2011-12-31 20:10:00,NNE,2.0,0.0
2011-12-31 20:15:00,NNE,1.0,0.0
2011-12-31 20:20:00,SSE,1.0,0.0
2011-12-31 20:25:00,SSE,3.0,0.0
2011-12-31 20:30:00,SSE,3.0,0.0
2011-12-31 20:35:00,ESE,2.0,1.0
2011-12-31 20:40:00,East,2.0,1.0
2011-12-31 20:45:00,East,3.0,0.0
2011-12-31 20:51:00,East,3.0,0.0
2011-12-31 20:56:00,East,3.0,0.0
2011-12-31 21:01:00,East,2.0,1.0
2011-12-31 21:06:00,East,3.0,2.0
2011-12-31 21:11:00,ENE,4.0,0.0
2011-12-31 21:16:00,ENE,4.0,0.0
2011-12-31 21:21:00,SSE,4.0,0.0
2011-12-31 21:26:00,SW,2.0,0.0
2011-12-31 21:32:00,South,4.0,0.0
2011-12-31 21:37:00,WSW,4.0,3.0
2011-12-31 21:42:00,SW,4.0,0.0
2011-12-31 21:47:00,SW,5.0,3.0
2011-12-31 21:52:00,WSW,5.0,1.0
2011-12-31 21:57:00,WSW,5.0,2.0
2011-12-31 22:02:00,WSW,5.0,2.0
2011-12-31 22:07:00,WSW,4.0,2.0
2011-12-31 22:12:00,WSW,4.0,2.0
2011-12-31 22:17:00,WSW,4.0,0.0
2011-12-31 22:22:00,WSW,3.0,0.0
2011-12-31 22:27:00,WSW,3.0,1.0
2011-12-31 22:32:00,West,3.0,0.0
2011-12-31 22:38:00,West,3.0,1.0
2011-12-31 22:43:00,West,3.0,0.0
2011-12-31 22:48:00,West,3.0,0.0
2011-12-31 22:53:00,West,2.0,0.0
2011-12-31 22:58:00,NNW,3.0,3.0
2011-12-31 23:03:00,NNW,4.0,0.0
2011-12-31 23:08:00,ENE,4.0,2.0
2011-12-31 23:14:00,ENE,4.0,0.0
2011-12-31 23:19:00,ENE,3.0,2.0
2011-12-31 23:24:00,ENE,3.0,3.0
2011-12-31 23:29:00,NE,5.0,1.0
2011-12-31 23:34:00,NE,5.0,0.0
2011-12-31 23:39:00,NE,5.0,0.0
2011-12-31 23:44:00,NE,3.0,1.0
2011-12-31 23:49:00,NE,3.0,0.0
2011-12-31 23:55:00,NE,3.0,1.0
2012-01-01 00:00:00,ENE,3.0,3.0
2012-01-01 00:05:00,ENE,3.0,0.0
2012-01-01 00:10:00,ENE,3.0,0.0
2012-01-01 00:15:00,ENE,1.0,0.0
2012-01-01 00:20:00,ENE,1.0,0.0
2012-01-01 00:25:00,NE,1.0,0.0
2012-01-01 00:30:00,NE,1.0,0.0
2012-01-01 00:36:00,NE,1.0,0.0
2012-01-01 00:41:00,NNE,2.0,0.0
2012-01-01 00:46:00,NNE,2.0,0.0
2012-01-01 00:51:00,NNE,2.0,0.0
2012-01-01 00:56:00,NE,3.0,0.0
2012-01-01 01:01:00,NE,3.0,0.0
2012-01-01 01:06:00,NE,3.0,2.0
2012-01-01 01:11:00,NE,2.0,1.0
2012-01-01 01:16:00,NNE,3.0,0.0
2012-01-01 01:21:00,North,4.0,1.0
2012-01-01 01:26:00,North,4.0,2.0
2012-01-01 01:32:00,North,5.0,1.0
2012-01-01 01:37:00,North,5.0,0.0
2012-01-01 01:42:00,NNE,5.0,4.0
2012-01-01 01:47:00,NNE,5.0,1.0
2012-01-01 01:52:00,North,5.0,2.0
2012-01-01 01:57:00,North,6.0,2.0
2012-01-01 02:02:00,NNE,6.0,1.0
2012-01-01 02:07:00,NE,6.0,2.0
