YEAR,MONTH,DAY,TIME,DIRECTION,WIND,NEXT_DIRECTION,NEXT_WIND
2011,12,31,13.12,NNE,6.0,NE,6.0
2011,12,31,13.21,NE,6.0,NE,6.0
2011,12,31,13.27,NE,6.0,East,6.0
2011,12,31,13.32,East,6.0,ENE,6.0
2011,12,31,13.37,ENE,6.0,East,9.0
2011,12,31,13.42,East,9.0,ENE,9.0
2011,12,31,13.47,ENE,9.0,ENE,8.0
2011,12,31,13.52,ENE,8.0,ENE,9.0
2011,12,31,14.01,ENE,9.0,East,10.0
2011,12,31,14.06,East,10.0,NNE,12.0
2011,12,31,14.12,NNE,12.0,NNE,12.0
2011,12,31,14.17,NNE,12.0,NNE,12.0
2011,12,31,14.22,NNE,12.0,NNE,9.0
2011,12,31,14.27,NNE,9.0,NNE,3.0
2011,12,31,14.32,NNE,3.0,NNE,4.0
2011,12,31,14.38,NNE,4.0,NE,5.0
2011,12,31,14.43,NE,5.0,North,5.0
2011,12,31,14.48,North,5.0,NNW,5.0
2011,12,31,14.53,NNW,5.0,North,5.0
2011,12,31,14.58,North,5.0,WNW,8.0
2011,12,31,15.03,WNW,8.0,North,8.0
2011,12,31,15.08,North,8.0,North,8.0
2011,12,31,15.14,North,8.0,North,5.0
2011,12,31,15.19,North,5.0,NE,3.0
2011,12,31,15.24,NE,3.0,NE,3.0
2011,12,31,15.29,NE,3.0,NNE,5.0
2011,12,31,15.34,NNE,5.0,NE,5.0
2011,12,31,15.39,NE,5.0,NE,5.0
2011,12,31,15.44,NE,5.0,NNE,3.0
2011,12,31,15.49,NNE,3.0,NNE,4.0
2011,12,31,15.55,NNE,4.0,NNE,4.0
2011,12,31,16.00,NNE,4.0,NNE,4.0
2011,12,31,16.05,NNE,4.0,NNE,2.0
2011,12,31,16.10,NNE,2.0,NNE,1.0
2011,12,31,16.15,NNE,1.0,NNE,1.0
2011,12,31,16.20,NNE,1.0,NNE,1.0
2011,12,31,16.25,NNE,1.0,NE,2.0
2011,12,31,16.30,NE,2.0,NE,3.0
2011,12,31,16.35,NE,3.0,NNE,3.0
2011,12,31,16.41,NNE,3.0,North,5.0
2011,12,31,16.46,North,5.0,NNE,5.0
2011,12,31,16.51,NNE,5.0,NNE,5.0
2011,12,31,16.56,NNE,5.0,North,4.0
2011,12,31,17.01,North,4.0,North,4.0
2011,12,31,17.06,North,4.0,North,5.0
2011,12,31,17.11,North,5.0,North,5.0
2011,12,31,17.17,North,5.0,North,5.0
2011,12,31,17.22,North,5.0,NNE,2.0
2011,12,31,17.27,NNE,2.0,ENE,2.0
2011,12,31,17.32,ENE,2.0,NNE,3.0
2011,12,31,17.37,NNE,3.0,NE,4.0
2011,12,31,17.42,NE,4.0,NNE,4.0
2011,12,31,17.47,NNE,4.0,North,4.0
2011,12,31,17.52,North,4.0,NNE,4.0
2011,12,31,17.57,NNE,4.0,North,4.0
2011,12,31,18.02,North,4.0,NE,4.0
2011,12,31,18.08,NE,4.0,NE,4.0
2011,12,31,18.13,NE,4.0,North,4.0
2011,12,31,18.18,North,4.0,North,3.0
2011,12,31,18.23,North,3.0,NE,3.0
2011,12,31,18.28,NE,3.0,NNE,3.0
2011,12,31,18.33,NNE,3.0,NNE,4.0
2011,12,31,18.37,NNE,4.0,North,4.0
2011,12,31,18.38,North,4.0,NNW,4.0
2011,12,31,18.43,NNW,4.0,NNE,4.0
2011,12,31,18.48,NNE,4.0,ENE,4.0
2011,12,31,18.54,ENE,4.0,ENE,4.0
2011,12,31,18.59,ENE,4.0,East,4.0
2011,12,31,19.04,East,4.0,NE,4.0
2011,12,31,19.09,NE,4.0,ENE,3.0
2011,12,31,19.14,ENE,3.0,East,3.0
2011,12,31,19.19,East,3.0,ENE,3.0
2011,12,31,19.24,ENE,3.0,North,5.0
2011,12,31,19.29,North,5.0,NNE,5.0
2011,12,31,19.34,NNE,5.0,NNE,3.0
2011,12,31,19.39,NNE,3.0,NNE,3.0
2011,12,31,19.45,NNE,3.0,NNE,3.0
2011,12,31,19.50,NNE,3.0,NNE,2.0
2011,12,31,19.55,NNE,2.0,NNE,2.0
2011,12,31,20.00,NNE,2.0,NNE,2.0
2011,12,31,20.05,NNE,2.0,NNE,2.0
2011,12,31,20.10,NNE,2.0,NNE,1.0
2011,12,31,20.15,NNE,1.0,SSE,1.0
2011,12,31,20.20,SSE,1.0,SSE,3.0
2011,12,31,20.25,SSE,3.0,SSE,3.0
2011,12,31,20.30,SSE,3.0,ESE,2.0
2011,12,31,20.35,ESE,2.0,East,2.0
2011,12,31,20.40,East,2.0,East,3.0
2011,12,31,20.45,East,3.0,East,3.0
2011,12,31,20.51,East,3.0,East,3.0
2011,12,31,20.56,East,3.0,East,2.0
2011,12,31,21.01,East,2.0,East,3.0
